pl_no,pl_goodsnm,pl_modelno
3780093622,잎스네이처 마린콜라겐 50 워터젤 크림/수분크림,11474597
3782594422,D티엔 수분 퐁당 크림 50ml 영양 수분 크림 촉촉한 스킨 케어,12190193
